company_name,mst,company_representative,address
CÔNG TY TNHH THANH TỊNH TÂM,3502301447,NGUYỄN THỊ DUNG," Ấp Quảng Phú, Thị Trấn Phú Mỹ, Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN TRÀM THIÊN NHIÊN,3901210086,HỨA BÙI QUANG LỘC," Số 349, đường Tua Hai, Khu phố 3, Phường 1, Thành phố Tây Ninh, Tỉnh Tây Ninh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC SÀI GÒN - NHÀ MÁY DƯỢC PHẨM RESANTIS VIỆT NAM,0300523385-060,LÊ VĂN THỊNH," Số 01 VSIP, Đường số 3, Khu công nghiệp Việt Nam - Singapore, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH PHAROS INTERNATIONAL VIỆT NAM,3702420025,BAHAR BUDIANTO," Lô số 18-3 đường số 3B, Khu công nghiệp Quốc tế Protrade, Xã An Tây, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH AN MEDICOL PHARMA,0107360728,NGUYỄN THỊ MAI NGUYỆT," Số 42, Đường Xuân Thủy, Tổ 46, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH XUẤT NHẬP KHẨU THỦY SẢN HƯNG LỢI VINA ,1801451207,PHẠM THỊ HÀ THƠ," 310/27, Đường 30/4, Phường Hưng Lợi, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM NAFAS,0107294433,TRẦN VĂN HÒA," Số 8, ngõ 585 đường Nguyễn Hoàng Tôn, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI NGỌC TUỆ LINH,0313674127,NGUYỄN THỊ ÁI PHƯƠNG," C9/11 Phạm Hùng , Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH KHOA HỌC CÔNG NGHỆ NAM DƯỢC THIÊN PHÚC,0107445611,Phạm Lệ Thủy," Tầng 2, Số 225, phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SINH DƯỢC VICOHN,0313548002,NGUYỄN ĐĂNG THỐNG," Lô I-9-6, Đường D2 Khu công nghệ Cao Thành phố Hồ Chí Minh, Phường Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM PHƯƠNG ĐÔNG - CHI NHÁNH 1 ,0305030898-001,VÕ QUÂN DUY," Lô số 68 - Đường số 2 - Khu Công nghiệp Tân Tạo, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THIẾT BỊ VÀ VẬT TƯ Y TẾ THẢO NGỌC - CHI NHÁNH KHA VẠN CÂN,0312230249-001,NGUYỄN THỊ LAN THẢO," số 833/50/2 Kha Vạn Cân, Phường Linh Tây, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU LANG,0312364475,NGUYỄN THANH LANG ," 76 Đường A4, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN THUỐC UNG THƯ BENOVAS - CHI NHÁNH LONG AN,0107753133-001,LƯU QUẾ MINH," Ấp Bình Tiền 2, Xã Đức Hòa Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam"
CÔNG TY CỔ PHẦN VIỆT NHẬT AQUAVET,0110140602,PHAN VĂN QUANGĐOÀN QUYẾT THẮNG," Thôn 2, Xã Thạch Hoà, Huyện Thạch Thất, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC LIỆU PHƯƠNG ĐÔNG,0107764103,LÊ VIẾT PHƯƠNG," Số 1 ngách 69B/33 Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN HỌC VIỆN GREEN,0107842351,NGUYỄN HIỀN GIANG ," Số 7, ngõ 3 phố Phạm Tuấn Tài , Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH PHÚC QUÝ HIỂN THOẠI SƠN,1601998391,Lê Hồng Sáu," Số 109 Võ Văn Kiệt, Ấp Tây Sơn, Thị Trấn Núi Sập, Huyện Thoại Sơn, Tỉnh An Giang, Việt Nam"
CÔNG TY TNHH SINH HỌC NAGI,1602000376,MAI XUÂN NHƯƠNG," Số 04, Tổ 01, Ấp Bình Chiến, Xã Bình Long, Huyện Châu Phú, Tỉnh An Giang, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 1 CÀ MAU,2000100368-084,HUỲNH THU HỒNG," Số 121, đường Lê Lợi, Khóm 2, Phường 2, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 8 CÀ MAU,2000100368-082,LÝ TUYẾT THU," Số 250A, đường Lý Thường Kiệt, Khóm 5, Phường 6, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam"
CÔNG TY TNHH Y HỌC CỔ TRUYỀN ĐẠI HỒNG PHÚC,0313962051,NGUYỄN ĐÌNH PHÚCNGUYỄN THỊ HUỲNH NHƯ," E9/202D Đường Thế Lữ, ấp 6, Xã Tân Nhựt, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 12 CÀ MAU,2000100368-080,NGUYỄN THỊ KIM LÊ," Số 106, đường Huỳnh Thúc Kháng, Khóm 7, Phường 7, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam"
CÔNG TY CỔ PHẦN TÂN SINH KIM PT,4601546721,TRẦN THẾ CƯỜNG," Xóm Bạch Thạch, Xã Tân Kim, Huyện Phú Bình, Tỉnh Thái Nguyên, Việt Nam"
CÔNG TY CỔ PHẦN PHÚ QUANG HUY PTN,4601546577,TRẦN THẾ CƯỜNG," Ngã Ba , Xóm Bàn Đạt , Xã Bàn Đạt, Huyện Phú Bình, Tỉnh Thái Nguyên, Việt Nam"
CÔNG TY CỔ PHẦN TÂN THÀNH BAN MAI,4601550598,TRẦN THẾ CƯỜNG," Khu Trung Tâm, Xã Tân Thành, Huyện Phú Bình, Tỉnh Thái Nguyên, Việt Nam"
CÔNG TY CỔ PHẦN TRANG VUI THÁI NGUYÊN,4601549313,TRẦN THẾ CƯỜNG," Xóm Kiều Chính, Xã Xuân Phương, Huyện Phú Bình, Tỉnh Thái Nguyên, Việt Nam"
CÔNG TY CỔ PHẦN AIKYA,0313752287,HÀ NGỌC SƠN," Lầu 46, Tòa nhà Bitexco Financial Tower, số 2 Hải Triều, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH BIO GREEN LAND CP,3401202986,TRƯƠNG CÔNG KHA," Xóm 14, Xã Chí Công, Huyện Tuy Phong, Tỉnh Bình Thuận, Việt Nam"
CÔNG TY LIÊN DOANH TNHH ANOVA,3700471585,NGUYỄN HIẾU LIÊM," 36 Đại lộ Độc lập, khu công nghiệp Việt Nam - Singapore, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MAP PACIFIC SINGAPORE TẠI HÀ NỘI,3600390692-002,ĐỖ ANH DŨNG," Phòng 205, Khách sạn Thể Thao, Làng sinh viên Hacinco, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC VITAKA,0313550107,HOÀNG MINH SƠN," Số 15 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN NÔNG DƯỢC TRƯƠNG TẤN PHÚC,4001260343,TRƯƠNG CÔNG CHÁNH," Thôn Bích Bắc, Xã Điện Hòa, Thị xã Điện Bàn, Tỉnh Quảng Nam, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SAGOPHAR,0312526327-001,HUỲNH QUANG HÙNG," Lô G1-2, G11 và G10-1, Đường D16, Khu công nghiệp Đông Nam, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH HIỆU QUẢ,0303895857,TRẦN THANH MINH ," 783/40/46A Nguyễn Duy Trinh, Phường Phú Hữu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - SẢN XUẤT Y DƯỢC NGUYÊN Y TỪ,0303785597,NGUYỄN THỊ VINH ," 211/56 Hoàng Hoa Thám, Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THỦY SẢN TOÀN THÀNH,0310969732,NGUYỄN NGỌC SƠN," 03 Đường Rừng Sát, Ấp An Nghĩa, Xã An Thới Đông, Huyện Cần Giờ, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH VÂN ANH (SỐ CŨ 0302000048 DO PHÒNG ĐĂNG KÝ KINH DOANH - SỞ KẾ HOẠCH VÀ ĐẦU TƯ TỈNH HÀ TÂY CẤP NGÀY 01/09/2000) (CẤP LẠI LẦN 1: 04/08/2010),0500412971,PHÙNG THỊ VÂN," Đội 2, Xã Dương Liễu, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT DƯỢC SONG VÂN,0301497931,LÊ TRÍ HƯNG ," 15/5 Phạm Văn Hai, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SBC HOÀNG GIA,3301702939,HỒ NHẬT PHƯƠNG," Kiệt 126/30 Phạm Văn Đồng, Phường Vỹ Dạ, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam"
CÔNG TY TNHH BÀO CHẾ ĐÔNG DƯỢC THIÊN HƯNG,0301449617,TRẦN THIÊN TỨ," 59/1D Phạm Văn Chiêu, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
