co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Nông nghiệp và Phát triển nông thôn,LNH,Trường đại học,Công lập,Vietnam National University of Forestry,TRƯỜNG ĐẠI HỌC LÂM NGHIỆP,Hà Nội,https://vnuf.edu.vn/
QHX,VNU University of Social Sciences and Humanities,Trường đại học,Công lập,https://ussh.vnu.edu.vn/,TRƯỜNG ĐẠI HỌC KHOA HỌC XÃ HỘI VÀ NHÂN VĂN - ĐẠI HỌC QUỐC GIA HÀ NỘI,VNU-HCM CEA,Hà Nội
Bộ Tư pháp,LPH,Trường đại học,Công lập,Hanoi Law University,TRƯỜNG ĐẠI HỌC LUẬT HÀ NỘI,Hà Nội,https://hlu.edu.vn/
Bộ Giáo dục và Đào tạo,DTV,Trường đại học,Tư thục,Luong The Vinh University,TRƯỜNG ĐẠI HỌC LƯƠNG THẾ VINH,Nam Định,http://ltvu.edu.vn/
QHL,VNU University of Law,Trường đại học,Công lập,https://law.vnu.edu.vn/,TRƯỜNG ĐẠI HỌC LUẬT - ĐẠI HỌC QUỐC GIA HÀ NỘI,Hà Nội,
Bộ Giáo dục và Đào tạo,LPS,Trường đại học,Công lập,University of Law Ho Chi Minh City,TRƯỜNG ĐẠI HỌC LUẬT TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://www.hcmulaw.edu.vn/
Bộ Giáo dục và Đào tạo,DHA,Trường đại học,Công lập,"Univeristy of Law, Hue University","TRƯỜNG ĐẠI HỌC LUẬT, ĐẠI HỌC HUẾ",Thừa Thiên Huế,https://www.hul.edu.vn/
Bộ Giáo dục và Đào tạo,MDA,Trường đại học,Công lập,Hanoi University of Mining and Geology,TRƯỜNG ĐẠI HỌC MỎ - ĐỊA CHẤT,Hà Nội,https://humg.edu.vn/
Nước ngoài,AUV,Trường đại học,Nước ngoài,The American University of Vietnam,TRƯỜNG ĐẠI HỌC MỸ TẠI VIỆT NAM,Đà Nẵng,http://auv.edu.vn/
Bộ Giáo dục và Đào tạo,MBS,Trường đại học,Công lập,Ho Chi Minh City Open University,TRƯỜNG ĐẠI HỌC MỞ TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://www.oude.edu.vn/
Bộ Giáo dục và Đào tạo,MHN,Trường đại học,Công lập,Hanoi Open University,TRƯỜNG ĐẠI HỌC MỞ HÀ NỘI,Hà Nội,https://hou.edu.vn/
Bộ Giáo dục và Đào tạo,MTC,Trường đại học,Công lập,University of Industrial Fine Arts,TRƯỜNG ĐẠI HỌC MỸ THUẬT CÔNG NGHIỆP,Hà Nội,http://mythuatcongnghiep.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",MTS,Trường đại học,Công lập,Ho Chi Minh city University of Fine Arts,TRƯỜNG ĐẠI HỌC MỸ THUẬT TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://www.hcmufa.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",MTH,Trường đại học,Công lập,Vietnam University of Fine Arts,TRƯỜNG ĐẠI HỌC MỸ THUẬT VIỆT NAM,Hà Nội,https://mythuatvietnam.edu.vn/
Bộ Giáo dục và Đào tạo,DNC,Trường đại học,Tư thục,Nam Can Tho University,TRƯỜNG ĐẠI HỌC NAM CẦN THƠ,Cần Thơ,https://nctu.edu.vn/
Bộ Nội Vụ,DNV,Trường đại học,Công lập,Hanoi University of Home Affairs,TRƯỜNG ĐẠI HỌC NỘI VỤ HÀ NỘI,Hà Nội,http://huha.edu.vn
Bộ Nông nghiệp và Phát triển nông thôn,DBG,Trường đại học,Công lập,Bac Giang Argriculture and Forestry  University,TRƯỜNG ĐẠI HỌC NÔNG LÂM BẮC GIANG,Bắc Giang,http://bafu.edu.vn/
Bộ Giáo dục và Đào tạo,NLS,Trường đại học,Công lập,University of Agriculture and Forestry Ho Chi Minh City,TRƯỜNG ĐẠI HỌC NÔNG LÂM TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://www.hcmuaf.edu.vn/
Bộ Giáo dục và Đào tạo,DTN,Trường đại học,Công lập,University of Agriculture and Forestry - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC NÔNG LÂM, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,https://tuaf.edu.vn/
Ngân hàng Nhà nước Việt Nam,NHS,Trường đại học,Công lập,The Banking University of Ho Chi Minh City,TRƯỜNG ĐẠI HỌC NGÂN HÀNG TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://buh.edu.vn/
Bộ Giáo dục và Đào tạo,DHL,Trường đại học,Công lập,"University of Agriculture and Forestry, Hue University","TRƯỜNG ĐẠI HỌC NÔNG LÂM, ĐẠI HỌC HUẾ",Thừa Thiên Huế,https://huaf.edu.vn/
Viện Hàn lâm Khoa học và Công nghệ Việt Nam,KCN,Trường đại học,Công lập,University of Science and Technology of Hanoi,TRƯỜNG ĐẠI HỌC KHOA HỌC VÀ CÔNG NGHỆ HÀ NỘI,Hà Nội,https://usth.edu.vn/
